task_id,source_bench,expected_category,expected_source
t047,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t048,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t049,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t050,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t051,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t052,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t053,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t054,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t055,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t056,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t057,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t058,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t059,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t060,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t061,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t062,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t063,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t064,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t065,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t066,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t067,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t068,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t069,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t070,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t071,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t072,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t073,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t074,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t075,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t076,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t077,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t078,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t079,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t080,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t081,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t082,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t083,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t084,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t085,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t086,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t087,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t088,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t089,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t090,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t091,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t092,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t093,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t094,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t095,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t096,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t097,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t098,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t099,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t100,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t101,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t102,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t103,36ada46_plus_fix2_gpt54_20260411T113715Z_prod_runs1.json,UNKNOWN,unknown
t000,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t001,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t002,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t003,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t004,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t005,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t006,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t007,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t008,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t009,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t010,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t011,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t012,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t013,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t014,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t015,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t016,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t017,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t018,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t019,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t020,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t021,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t022,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t023,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t024,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t025,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t026,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t027,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t028,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t029,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t030,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t031,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t032,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t033,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t034,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t035,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t036,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t037,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t038,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t039,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t040,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t041,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t042,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t043,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t044,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t045,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t046,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t047,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t048,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t049,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t050,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t051,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t052,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t053,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t054,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t055,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t056,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t057,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t058,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t059,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t060,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t061,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t062,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t063,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t064,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t065,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t066,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t067,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t068,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t069,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t070,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t071,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t072,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t073,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t074,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t075,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t076,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t077,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t078,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t079,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t080,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t081,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t082,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t083,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t084,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t085,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t086,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t087,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t088,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t089,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t090,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t091,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t092,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t093,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t094,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t095,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t096,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t097,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t098,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t099,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t100,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t101,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t102,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t103,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
